symbol,settl,trades,volume,amount,first_trade_at,last_trade_at,first_price,last_price,high,low,variation_pct
LTM,T2,16388,1787355598.0,41822381473.69988,2026-03-02T09:23:38.603000,2026-03-02T16:00:12.777000,23.76,23.21,23.76,23.0,-2.314814814814818
CHILE,T2,8584,173885304.0,30940270805.03022,2026-03-02T09:23:46.565000,2026-03-02T16:00:18.872000,178.2,176.99,180.0,176.11,-0.6790123456790009
BSANTANDER,T2,12268,126218242.0,9155222243.840023,2026-03-02T09:23:45.360000,2026-03-02T16:00:08.782000,72.8,71.8,73.98,71.8,-1.3736263736263736
VAPORES,T2,2197,84626489.0,4145596017.7799835,2026-03-02T09:23:45.597000,2026-03-02T16:00:17.798000,48.02,49.15,49.58,48.02,2.353186172428145
ENELAM,T2,3846,72533722.0,5687733570.040014,2026-03-02T09:23:43.297000,2026-03-02T16:00:18.763000,77.0,77.53,79.47,77.0,0.6883116883116898
ENELCHILE,T2,3073,36791009.0,2661147513.7200055,2026-03-02T09:23:41.663000,2026-03-02T16:00:10.819000,73.1,71.27,74.87,70.69,-2.503419972640217
ORO BLANCO,T2,484,30547667.0,305964700.1450003,2026-03-02T09:23:42.005000,2026-03-02T16:00:07.720000,10.14,10.14,10.14,9.64,0.0
COLBUN,T2,695,7148151.0,1027681841.4099987,2026-03-02T09:23:45.193000,2026-03-02T16:00:17.747000,144.0,143.0,145.35,141.02,-0.6944444444444444
NITRATOS,T2,18,6302425.0,31532976.558,2026-03-02T09:23:44.727000,2026-03-02T15:12:31.550000,5.2,5.0,5.2,4.999,-3.8461538461538494
MULTI X,T2,3,6050014.0,2002552741.14,2026-03-02T11:04:34.708000,2026-03-02T13:33:16.635000,321.51,330.0,331.0,321.51,2.640664365027529
